DATE,OPEN,CLOSE,HIGH,LOW,LTP,VOLUME,VALUE,NO OF TRADES
2024-02-01,2961.0,2929.35,2972.85,2919.95,2926.1,3006472,8818024560.35,141696
2024-01-31,2966.0,2957.85,2971.9,2948.05,2964.0,1771244,5235584031.15,120914
2024-01-30,2990.0,2954.1,3005.0,2951.05,2959.0,1273188,3786074346.25,69876
2024-01-29,2940.05,2976.05,2988.45,2940.05,2978.0,1862723,5535215219.5,106094
2024-01-25,3010.05,2949.2,3016.0,2942.3,2949.1,2001961,5928987578.85,165587
2024-01-24,3055.0,2999.45,3055.0,2976.1,3001.95,2665932,7995380686.9,191460
2024-01-23,3087.55,3054.7,3109.0,3021.55,3073.95,2365225,7240683404.7,177182
2024-01-20,3179.9,3138.8,3189.2,3130.35,3142.85,275937,870982603.55,30633
2024-01-19,3177.8,3165.85,3201.55,3148.6,3166.0,936201,2968757419.35,107564
2024-01-18,3257.95,3163.85,3257.95,3048.6,3173.0,1979174,6229311861.1,188313
2024-01-17,3294.1,3242.3,3304.35,3193.05,3249.7,2239241,7308999438.65,146143
2024-01-16,3274.95,3296.9,3320.0,3273.9,3302.75,748215,2469416279.5,90527
2024-01-15,3282.2,3273.9,3287.2,3258.6,3280.0,728116,2380131693.25,71432
2024-01-12,3294.95,3277.8,3294.95,3244.0,3287.25,673004,2197818060.5,87373
2024-01-11,3286.85,3288.2,3309.2,3270.7,3285.0,537469,1765643934.3,74706
2024-01-10,3292.0,3286.85,3293.0,3258.2,3285.0,691087,2264157869.2,59565
2024-01-09,3310.0,3267.5,3315.0,3262.25,3272.25,670704,2205522435.2,58748
2024-01-08,3355.0,3298.4,3376.5,3294.85,3301.0,545884,1813483826.75,62730
2024-01-05,3379.95,3355.55,3380.4,3348.0,3352.0,416956,1402751510.35,68006
2024-01-04,3372.0,3379.95,3401.25,3363.8,3375.35,777127,2630794902.25,73687
2024-01-03,3391.35,3373.6,3399.0,3365.0,3374.95,379131,1283191878.95,45139
2024-01-02,3396.0,3391.35,3398.9,3345.0,3390.0,552394,1864837635.55,58169
2024-01-01,3403.0,3396.1,3411.8,3389.15,3390.0,283951,964615249.85,41365
2023-12-29,3410.0,3402.4,3422.95,3383.9,3394.75,615676,2094008563.4,67005
2023-12-28,3405.0,3397.25,3419.95,3373.05,3399.5,779250,2643732575.2,84398
2023-12-27,3381.05,3404.45,3409.95,3354.0,3400.0,837182,2826614984.65,87270
2023-12-26,3349.95,3383.35,3391.9,3345.2,3383.0,600190,2022925133.05,49808
2023-12-22,3309.9,3341.3,3350.8,3287.0,3345.0,930563,3099863702.2,99092
2023-12-21,3280.0,3302.95,3320.0,3271.85,3305.65,1585879,5227175386.6,83813
2023-12-20,3336.05,3297.15,3359.95,3282.65,3288.0,979762,3260440870.2,81014
2023-12-19,3335.95,3336.05,3353.9,3300.15,3335.0,780448,2598531549.85,62835
2023-12-18,3313.0,3332.05,3335.8,3296.0,3335.0,911936,3029490833.8,67398
2023-12-15,3250.0,3313.9,3326.35,3242.0,3312.65,1631687,5365262123.4,104245
2023-12-14,3255.0,3241.35,3258.6,3218.0,3245.75,923107,2988496890.3,95724
2023-12-13,3240.0,3243.65,3254.95,3190.3,3237.5,1052079,3389223419.7,82462
2023-12-12,3228.0,3224.75,3257.05,3210.0,3213.0,1019030,3293219184.2,103825
