DATE,OPEN,CLOSE,HIGH,LOW,LTP,VOLUME,VALUE,NO OF TRADES
2024-02-01,1359.7,1387.65,1394.85,1352.05,1383.9,2784507,3837478689.5,164672
2024-01-30,1345.0,1317.1,1352.0,1314.15,1318.0,1908926,2543807908.1,143698
2024-01-29,1365.0,1336.85,1365.0,1325.3,1341.55,2480508,3315747531.8,102961
2024-01-25,1413.35,1369.65,1413.45,1353.5,1374.8,1801468,2476530482.9,128656
2024-01-24,1409.0,1417.35,1423.05,1394.85,1413.6,1808713,2552089769.2,148473
2024-01-23,1385.0,1409.0,1425.0,1368.7,1407.95,7556815,10613076841.15,360841
2024-01-20,1335.65,1316.25,1337.95,1307.05,1313.0,353704,467940814.9,28901
2024-01-19,1330.95,1327.95,1330.95,1316.6,1327.0,1135846,1504966854.05,96557
2024-01-18,1285.05,1322.95,1327.2,1267.9,1320.0,1723297,2252183372.65,101400
2024-01-17,1299.35,1294.0,1312.9,1282.1,1292.0,2073596,2680833769.45,67478
2024-01-16,1313.15,1302.35,1314.4,1298.25,1301.45,1030845,1346528368.6,46638
2024-01-15,1316.0,1313.15,1327.75,1306.6,1314.8,762036,1003402582.35,53990
2024-01-12,1324.2,1308.0,1325.65,1300.4,1309.7,2051301,2684728251.9,127646
2024-01-11,1339.85,1325.65,1340.0,1323.05,1326.8,1097204,1461801827.95,52725
2024-01-10,1296.0,1329.2,1331.5,1294.3,1328.7,3625567,4774968018.2,162840
2024-01-09,1284.0,1289.35,1295.0,1273.4,1291.5,1133466,1458720454.95,59609
2024-01-08,1296.65,1271.75,1297.0,1266.2,1271.0,740848,945181291.95,64071
2024-01-05,1300.0,1286.9,1301.55,1276.15,1287.15,1013196,1302149975.15,61420
2024-01-04,1304.0,1296.65,1308.0,1286.65,1299.5,1248143,1620873637.55,75334
2024-01-03,1291.0,1300.15,1307.0,1274.05,1301.55,2357093,3050842592.75,87619
2024-01-02,1255.1,1281.55,1285.0,1252.1,1282.85,2589484,3300133753.25,120479
2024-01-01,1252.45,1251.0,1256.8,1246.7,1250.0,343584,429927015.25,28340
2023-12-29,1264.0,1246.3,1267.6,1242.05,1250.0,1794218,2243641263.1,66140
2023-12-28,1239.75,1260.8,1263.8,1239.75,1262.0,2592699,3245931730.05,74952
2023-12-27,1247.0,1239.75,1250.35,1236.7,1239.55,2528609,3139476963.7,69321
2023-12-26,1240.0,1244.95,1250.0,1231.85,1246.95,820163,1020359654.55,43628
2023-12-22,1230.05,1235.6,1242.5,1221.65,1240.0,1969524,2429335481.0,93105
2023-12-21,1236.2,1221.85,1236.2,1205.85,1229.0,1580136,1929373640.7,108954
2023-12-20,1239.0,1236.2,1248.0,1231.0,1238.0,2484819,3077027075.4,80777
2023-12-19,1219.45,1237.1,1240.15,1212.2,1240.0,1738507,2131132599.7,80065
2023-12-18,1205.6,1216.8,1218.95,1192.1,1215.0,1995091,2420390106.15,76889
2023-12-15,1215.0,1207.1,1217.6,1202.85,1205.15,1976112,2390958535.4,64673
2023-12-14,1219.05,1204.65,1222.55,1201.1,1205.0,1809248,2186425633.0,67310
2023-12-13,1198.65,1216.5,1217.95,1195.2,1213.0,1809563,2188676331.8,52220
2023-12-12,1210.6,1198.65,1214.25,1195.2,1198.0,899911,1082238214.8,50796
2023-12-11,1217.6,1202.3,1218.95,1195.05,1204.0,1565455,1881555307.65,53005
2023-12-08,1225.0,1219.1,1231.2,1204.0,1219.0,1453955,1767822679.5,121005
2023-12-07,1206.0,1222.8,1225.0,1197.0,1223.95,1269290,1546418296.75,66851
2023-12-06,1225.0,1205.2,1229.85,1201.0,1207.0,1416770,1712332146.95,72777
2023-12-05,1222.6,1224.45,1229.0,1216.0,1221.5,2132150,2606088795.15,105344
2023-12-04,1212.3,1216.5,1219.1,1206.25,1218.5,2097408,2543881031.8,88951
2023-12-01,1213.45,1205.7,1217.85,1203.5,1204.9,1078680,1303260970.75,50050
2023-11-30,1200.0,1212.3,1217.65,1198.1,1213.5,3219799,3885077639.35,112471
2023-11-29,1198.75,1201.55,1206.8,1191.75,1201.1,2173427,2608543883.15,76153
2023-11-28,1200.0,1192.3,1202.75,1188.0,1191.5,1691543,2021926441.15,101863
2023-11-24,1190.05,1198.65,1205.0,1178.0,1196.25,5331201,6374138842.65,150404
2023-11-23,1270.0,1170.65,1270.0,1164.55,1174.4,7643376,9122020404.3,227099
2023-11-22,1256.95,1271.5,1283.55,1254.0,1272.9,1735497,2209746968.15,74055
2023-11-21,1246.95,1253.25,1255.0,1242.15,1254.0,594738,743673883.5,33686
2023-11-20,1241.5,1247.1,1256.0,1241.0,1248.75,848916,1058681113.95,45123
2023-11-17,1236.0,1249.4,1256.1,1235.5,1248.2,992848,1239349824.85,52816
2023-11-16,1241.05,1234.8,1246.3,1232.65,1235.65,1251094,1549534943.5,103525
2023-11-15,1260.0,1241.75,1260.0,1237.7,1240.0,1323010,1644027866.75,81230
2023-11-13,1243.0,1240.55,1243.0,1230.65,1241.25,689808,853061713.1,25619
2023-11-12,1246.0,1243.95,1248.9,1238.0,1241.65,119172,148463856.25,6923
2023-11-10,1237.85,1240.1,1242.0,1230.0,1239.1,576673,713042730.5,25842
2023-11-09,1242.0,1238.15,1245.0,1232.0,1239.25,751433,931499748.7,45050
2023-11-08,1222.0,1241.0,1242.4,1220.0,1240.0,1107006,1366851790.8,46836
2023-11-07,1205.0,1216.45,1217.5,1200.75,1216.85,1210644,1469027874.6,37291
