DATE,OPEN,CLOSE,HIGH,LOW,LTP,VOLUME,VALUE,NO OF TRADES
2024-02-01,442.0,442.9,447.75,439.3,442.4,19165409,8500057382.95,272761
2024-01-31,440.0,441.55,442.5,438.7,441.75,19882944,8762279321.85,240053
2024-01-30,447.0,438.05,453.7,437.4,438.25,43514448,19255117086.65,699940
2024-01-29,455.9,449.8,457.25,447.5,448.7,17869152,8088099555.1,253582
2024-01-25,463.55,455.65,464.95,452.1,457.5,19677700,8975118150.05,206935
2024-01-24,460.1,463.6,467.4,458.1,461.8,21626183,9988404501.0,182598
2024-01-23,473.75,459.3,473.75,456.4,459.85,8404513,3910881933.9,174187
2024-01-20,473.4,468.4,475.0,468.0,468.3,3296407,1553845356.45,53837
2024-01-19,468.55,471.5,473.0,466.4,472.0,12203322,5743598363.6,140093
2024-01-18,465.25,465.5,467.85,454.55,466.45,9143784,4241036943.75,162645
2024-01-17,471.4,466.6,477.0,465.2,467.3,11108698,5221322440.85,163870
2024-01-16,467.8,472.3,475.0,464.25,475.0,12066347,5662477326.35,181194
2024-01-15,470.0,467.6,470.5,466.1,467.55,6902156,3228425376.55,141310
2024-01-12,463.25,466.7,467.7,460.35,467.4,9354326,4345496069.9,151600
2024-01-11,464.1,462.65,466.55,461.1,463.25,6534775,3027885522.2,128488
2024-01-10,464.55,463.3,466.75,460.05,463.5,5896123,2724412894.15,113576
2024-01-09,467.5,464.55,469.95,463.65,464.2,5696780,2655047091.6,133889
2024-01-08,475.0,465.5,475.5,464.55,465.35,8003177,3743577082.0,162793
2024-01-05,479.4,473.95,479.4,472.0,473.8,9209405,4374280743.7,191991
2024-01-04,480.0,476.4,481.45,474.2,475.5,11786959,5641469823.9,145887
2024-01-03,470.25,477.25,480.7,469.35,477.45,24036012,11474709723.9,270703
2024-01-02,470.0,470.35,471.35,463.6,470.15,10519771,4926002186.85,159124
2024-01-01,463.5,468.05,469.95,462.65,465.8,9346277,4366127498.3,167073
2023-12-29,464.1,462.1,467.9,461.35,462.0,12888266,5987892520.95,195653
2023-12-28,457.2,464.1,464.7,456.1,463.95,20696101,9553290485.3,219642
2023-12-27,457.0,457.1,458.5,453.75,456.6,7543383,3439550563.55,141438
2023-12-26,456.05,456.45,458.9,454.7,457.05,5871301,2682601608.85,133599
2023-12-22,453.0,455.2,455.9,450.55,454.2,11026317,5008664858.2,189460
2023-12-21,449.0,451.45,453.75,444.45,452.0,11154625,5021673354.15,173231
2023-12-20,459.0,451.0,459.25,449.3,450.15,10367665,4716934041.15,171902
2023-12-19,453.35,456.1,458.0,452.05,456.45,10268755,4680212654.95,163132
2023-12-18,455.0,451.65,456.0,450.35,451.95,12027620,5435127623.5,202238
2023-12-15,461.9,458.2,462.95,455.0,458.55,15789845,7227299043.7,205228
2023-12-14,460.0,460.1,461.0,449.45,458.3,14370803,6587926047.65,198906
2023-12-13,456.3,455.65,458.85,453.1,455.6,11283868,5142261661.75,136565
2023-12-12,454.2,453.1,460.0,452.35,453.6,10158101,4633852599.45,159664
2023-12-11,451.5,452.45,453.6,449.3,453.2,6599973,2982667106.3,153704
2023-12-08,459.95,449.15,461.6,448.5,450.0,18667895,8450769799.45,173240
2023-12-07,464.75,458.1,464.8,457.4,458.2,11310918,5196208022.5,175050
2023-12-06,453.9,463.25,464.5,452.1,463.45,20417559,9415918516.3,295774
2023-12-05,455.0,451.75,457.8,450.1,452.4,12136292,5504017393.25,154505
2023-12-04,455.0,454.05,456.4,451.0,453.1,12800220,5807860907.55,218205
2023-12-01,437.9,449.8,450.95,437.4,449.15,19336856,8636046292.35,233084
2023-11-30,436.7,435.8,438.45,434.5,436.75,15127505,6595568134.95,205331
2023-11-29,436.0,437.2,438.5,434.15,436.9,13785216,6012481178.15,181426
2023-11-28,438.0,435.25,439.0,434.9,435.9,8745691,3813552286.95,177548
2023-11-24,441.0,437.8,442.25,436.85,437.9,6821878,2994784740.4,116779
2023-11-23,440.95,440.35,442.25,438.25,440.9,6366606,2803291959.25,98441
2023-11-22,437.0,439.7,440.4,434.8,440.15,4886687,2139403597.8,94940
2023-11-21,437.15,436.25,439.3,435.5,436.2,5997810,2621113885.4,115882
2023-11-20,439.85,436.8,440.3,434.5,436.3,4335388,1896428774.5,101713
2023-11-17,439.25,439.25,441.5,438.3,438.85,6655278,2924821117.8,124069
2023-11-16,441.95,438.65,444.5,437.6,439.2,10857863,4788516957.7,144767
2023-11-15,438.1,441.95,442.5,437.5,442.0,7436428,3273239271.95,97387
2023-11-13,438.4,436.0,438.4,435.0,435.95,3744754,1633635527.55,91487
2023-11-12,438.85,438.45,439.2,438.0,438.75,1181310,518193286.15,54111
2023-11-10,434.4,436.55,438.0,432.5,437.95,4079205,1775212626.75,99710
2023-11-09,437.8,434.4,438.0,433.9,434.45,7785767,3390581111.5,117539
2023-11-08,433.15,436.95,437.5,432.3,437.0,6979849,3033492148.85,120482
2023-11-07,434.9,432.7,434.9,432.15,432.95,5124012,2218895493.75,127198
2023-11-06,433.5,435.35,436.8,432.55,434.9,7308229,3173328173.2,129745
2023-11-03,432.8,433.25,434.4,431.1,432.1,13802600,5972097160.75,110620
2023-11-02,430.05,431.15,432.7,428.65,430.8,8152031,3506807055.75,144426
2023-11-01,430.0,428.1,431.1,425.5,430.35,7990245,3422242128.95,163579
