DATE,OPEN,CLOSE,HIGH,LOW,LTP,VOLUME,VALUE,NO OF TRADES
2024-02-01,2870.0,2853.3,2886.7,2836.1,2851.5,6674681,19075409129.85,259110
2024-01-31,2808.0,2853.25,2868.5,2805.0,2850.0,7565113,21545402809.0,343623
2024-01-30,2919.9,2815.25,2919.95,2808.85,2818.25,7046989,20114536190.8,314728
2024-01-29,2729.0,2896.1,2905.0,2720.35,2890.1,11946719,33955652629.4,464414
2024-01-25,2685.9,2706.15,2728.3,2670.4,2711.0,5904436,15924681035.8,199408
2024-01-24,2670.45,2687.75,2699.0,2647.85,2694.9,10959564,29199812068.1,253093
2024-01-23,2743.5,2657.15,2743.5,2645.1,2656.75,10027710,26823081585.3,337484
2024-01-20,2730.0,2713.3,2766.95,2700.0,2716.0,3641697,9957110928.55,128579
2024-01-19,2752.0,2734.9,2752.0,2718.0,2736.45,5211352,14238941782.6,275902
2024-01-18,2702.8,2735.9,2742.0,2702.5,2734.75,5139719,14005371079.55,253448
2024-01-17,2719.0,2723.15,2772.55,2710.05,2723.5,6098691,16702784157.5,312203
2024-01-16,2779.95,2749.25,2792.6,2741.0,2746.8,4534512,12563673259.4,235619
2024-01-15,2750.0,2788.25,2792.9,2732.0,2786.0,4305297,11920219926.15,237252
2024-01-12,2719.8,2741.45,2746.65,2691.5,2740.5,7506082,20487745085.4,434055
2024-01-11,2659.0,2719.8,2725.0,2657.0,2716.0,11862926,31979289599.9,581952
2024-01-10,2577.0,2650.1,2659.0,2575.05,2655.0,5551370,14526742701.55,179441
2024-01-09,2600.0,2580.5,2606.8,2577.2,2580.5,2701537,7003571441.95,130706
2024-01-08,2610.0,2587.35,2631.95,2568.95,2586.0,3867326,10057168474.15,171169
2024-01-05,2602.9,2607.7,2619.85,2598.0,2609.0,4043203,10539886698.05,211413
2024-01-04,2588.0,2596.65,2609.85,2579.1,2600.0,4806389,12483971502.55,267185
2024-01-03,2610.0,2583.3,2634.0,2577.2,2580.75,4518768,11778006447.25,198303
2024-01-02,2585.0,2611.7,2615.0,2573.0,2609.0,3724400,9671331567.5,175872
2024-01-01,2580.55,2590.25,2606.85,2573.15,2588.45,2015270,5215808110.05,115559
2023-12-29,2611.1,2584.95,2614.0,2579.3,2587.0,5432292,14067490670.9,248419
2023-12-28,2589.8,2605.55,2612.0,2586.85,2605.0,6151318,16009295262.65,228625
2023-12-27,2582.0,2586.85,2599.9,2573.1,2583.35,4602078,11903547787.85,191497
2023-12-26,2568.0,2578.05,2591.95,2562.7,2579.0,3732832,9630262624.25,188513
2023-12-22,2559.6,2565.05,2580.9,2547.65,2561.0,8270892,21171713990.35,274088
2023-12-21,2527.0,2562.55,2573.5,2518.25,2561.0,6882727,17562946483.4,235158
2023-12-20,2571.05,2527.15,2598.85,2520.0,2529.4,8868361,22735194766.35,372595
2023-12-19,2555.0,2558.1,2573.9,2525.2,2556.5,8410302,21476799671.65,331728
2023-12-18,2495.6,2521.0,2534.9,2490.95,2520.0,7082594,17861536572.75,253336
2023-12-15,2478.0,2495.6,2500.0,2470.05,2492.0,7966076,19818994725.95,219982
2023-12-14,2454.0,2464.15,2474.95,2442.65,2463.55,8486177,20916413095.3,308013
2023-12-13,2422.0,2433.95,2438.35,2406.3,2432.05,5015591,12149635536.75,203903
2023-12-12,2460.0,2424.05,2464.95,2420.15,2424.0,4598562,11233058046.6,164611
2023-12-11,2456.0,2459.35,2467.6,2452.4,2460.9,3533069,8690654768.25,148258
2023-12-08,2463.85,2455.75,2476.7,2445.0,2451.0,5102447,12539153828.9,193898
2023-12-07,2460.0,2457.05,2460.95,2442.0,2456.15,4071048,9988795871.3,169328
2023-12-06,2447.1,2461.1,2472.95,2435.0,2462.0,8211221,20196820469.5,203350
2023-12-05,2439.0,2437.75,2440.85,2421.65,2437.15,6346812,15456491179.15,270813
2023-12-04,2450.0,2420.2,2450.0,2398.6,2421.0,7795495,18842940784.8,249010
2023-12-01,2378.0,2394.3,2396.4,2377.6,2393.0,7171421,17135906079.4,218016
2023-11-30,2394.7,2377.45,2400.7,2369.9,2379.0,14219992,33880261609.25,368003
2023-11-29,2408.0,2400.7,2411.95,2398.05,2400.0,6265653,15078554701.8,161091
2023-11-28,2393.9,2394.4,2399.7,2375.25,2395.15,6896087,16433674720.45,221537
2023-11-24,2391.6,2393.9,2402.6,2391.05,2394.25,3374743,8090226237.15,182231
2023-11-23,2388.2,2395.5,2400.0,2388.2,2393.9,4265771,10219770255.8,151936
2023-11-22,2375.0,2388.2,2394.45,2372.2,2387.0,4267407,10181003165.9,177755
2023-11-21,2366.0,2378.9,2388.0,2360.2,2377.0,4107225,9763257904.05,163809
2023-11-20,2348.55,2349.35,2358.4,2336.4,2349.0,2245093,5269153540.0,117438
2023-11-17,2352.9,2355.55,2373.25,2352.05,2354.85,3879317,9168751612.0,140454
2023-11-16,2351.1,2360.7,2374.15,2346.95,2358.0,6567455,15523761404.1,179828
2023-11-15,2340.0,2356.45,2361.95,2327.0,2356.1,6110324,14339487044.5,188402
