DATE,OPEN,CLOSE,HIGH,LOW,LTP,VOLUME,VALUE,NO OF TRADES
2024-02-01,3738.0,3627.45,3738.0,3601.0,3628.0,1408462,5145014391.3,189969
2024-01-31,3749.0,3697.55,3775.0,3653.25,3697.45,1386754,5115066146.6,123104
2024-01-30,3882.0,3735.75,3886.95,3715.0,3749.0,852445,3236487042.15,89111
2024-01-29,3760.6,3866.65,3875.0,3760.55,3860.0,699215,2683316361.75,74634
2024-01-25,3770.4,3770.2,3796.95,3730.1,3770.0,646135,2428313977.95,76578
2024-01-24,3764.0,3767.85,3780.0,3711.75,3770.4,636988,2384725855.8,93949
2024-01-23,3786.0,3739.65,3858.0,3705.75,3737.9,1053510,3978665288.8,92852
2024-01-20,3833.95,3784.7,3834.4,3780.0,3786.0,238575,907686254.2,29433
2024-01-19,3742.2,3810.6,3861.5,3740.7,3816.0,2566367,9730784729.55,129775
2024-01-18,3791.35,3734.7,3824.65,3718.85,3737.9,1293580,4873965466.9,158684
2024-01-17,3818.95,3830.05,3855.0,3800.0,3825.1,723356,2772353505.85,81164
2024-01-16,3758.85,3820.3,3858.0,3756.0,3818.9,1170685,4471091958.6,107714
2024-01-15,3740.0,3758.85,3775.0,3736.0,3756.35,661292,2484413017.1,71302
2024-01-12,3700.0,3726.0,3734.3,3647.95,3728.75,990582,3656169735.95,103282
2024-01-11,3726.9,3698.6,3742.7,3692.6,3699.0,392818,1457999780.25,58089
2024-01-10,3708.0,3714.45,3730.0,3690.0,3716.0,556311,2063423694.05,68315
2024-01-09,3736.95,3694.0,3753.95,3685.15,3699.05,572612,2130776997.45,55068
2024-01-08,3770.0,3706.05,3776.85,3695.8,3710.95,1202148,4482307279.6,109095
2024-01-05,3719.7,3712.55,3750.0,3687.25,3713.05,963628,3573495237.75,97924
2024-01-04,3696.0,3719.7,3727.0,3686.65,3715.0,545228,2025716485.2,63834
2024-01-03,3708.0,3693.05,3709.95,3665.0,3696.0,356757,1315718156.85,49334
2024-01-02,3689.0,3698.25,3707.85,3642.5,3699.0,453685,1669963642.95,52647
2024-01-01,3689.0,3677.15,3698.0,3667.5,3679.85,286683,1055037814.95,49467
2023-12-29,3715.1,3675.45,3715.1,3660.25,3685.9,709614,2609482944.7,74001
2023-12-28,3699.9,3715.1,3737.0,3680.7,3708.0,1033648,3835067417.95,96823
2023-12-27,3668.0,3689.25,3695.0,3645.0,3689.0,666625,2448094970.5,79506
2023-12-26,3635.0,3656.7,3665.0,3623.45,3660.0,526101,1919942831.7,69700
2023-12-22,3580.0,3627.35,3638.45,3560.55,3620.0,777099,2804472873.4,104080
2023-12-21,3524.1,3580.0,3598.95,3518.8,3580.0,816722,2911922455.1,98614
2023-12-20,3610.45,3554.1,3651.5,3541.0,3559.0,849001,3067823823.45,92733
2023-12-19,3610.65,3610.45,3627.95,3600.1,3607.55,577926,2088453589.3,67301
2023-12-18,3600.7,3619.6,3667.2,3593.9,3619.0,699850,2539567184.0,79968
2023-12-15,3615.0,3600.55,3615.0,3584.8,3601.25,906271,3262421615.75,84846
2023-12-14,3647.0,3591.4,3647.0,3584.35,3600.0,992762,3567762395.95,101410
2023-12-13,3585.0,3602.35,3609.75,3552.75,3605.35,717618,2568727437.2,85440
2023-12-12,3637.0,3571.4,3644.5,3563.25,3574.0,1075941,3860136411.0,117870
2023-12-11,3634.55,3630.5,3644.6,3598.3,3631.0,620604,2248050269.9,66180
2023-12-08,3575.0,3634.65,3646.95,3575.0,3623.0,1562141,5648446221.65,114013
2023-12-07,3546.9,3585.4,3595.0,3519.05,3580.1,820214,2930997186.95,89335
2023-12-06,3550.0,3546.9,3573.95,3522.1,3545.0,474140,1684731748.35,52339
2023-12-05,3488.4,3545.3,3550.0,3479.0,3549.0,713651,2517095462.0,65894
2023-12-04,3550.0,3488.4,3550.0,3478.05,3487.5,808838,2827407832.3,71335
2023-12-01,3499.0,3489.5,3500.0,3470.0,3483.0,655263,2285217004.05,82956
2023-11-30,3431.1,3490.6,3500.0,3422.25,3483.8,1480088,5139481222.65,102983
2023-11-29,3473.85,3429.3,3473.85,3424.0,3429.5,819200,2817363378.6,66687
