SYMBOL,SERIES,CLOSE
20MICRONS,EQ,175.6
360ONE,EQ,630.2
3IINFOLTD,EQ,57.75
3MINDIA,EQ,34048.25
3PLAND,EQ,34.95
5PAISA,EQ,609.9
AARON,EQ,275.6
AARTECH,EQ,137.75
AARTIDRUGS,EQ,504.55
AARTIIND,EQ,634.1
AARTIPHARM,EQ,533.75
AARTISURF,EQ,738.75
AARVEEDEN,EQ,29.5
AARVI,EQ,153.95
AAVAS,EQ,1508.25
ABB,EQ,4739.3
ABBOTINDIA,EQ,25060.75
ABCAPITAL,EQ,165.75
ABFRL,EQ,241.6
ABSLAMC,EQ,467.1
ABSLBANETF,EQ,45.22
ABSLLIQUID,EQ,999.99
ABSLNN50ET,EQ,55.77
ACC,EQ,2467.65
ACCELYA,EQ,1844.5
ACE,EQ,896.95
ACEINTEG,EQ,40.15
ACI,EQ,621.6
ACL,EQ,122.0
ACLGATI,EQ,123.3
ADANIENSOL,EQ,1061.8
ADANIENT,EQ,2893.6
ADANIGREEN,EQ,1664.8
ADANIPORTS,EQ,1146.3
ADFFOODS,EQ,196.5
ADORWELD,EQ,1567.6
ADSL,EQ,186.6
ADVANIHOTR,EQ,142.65
ADVENZYMES,EQ,372.25
AEGISCHEM,EQ,388.45
AEROFLEX,EQ,163.9
AETHER,EQ,847.25
AFFLE,EQ,1219.65
AGARIND,EQ,1023.75
AGI,EQ,781.9
AGRITECH,EQ,208.15
AGROPHOS,EQ,47.65
AGSTRA,EQ,120.75
AHL,EQ,324.2
AHLADA,EQ,128.8
AHLEAST,EQ,164.7
AHLUCONT,EQ,809.4
AIAENG,EQ,3894.9
AIROLAM,EQ,138.5
AJANTPHARM,EQ,2185.05
AJMERA,EQ,561.8
AKG,EQ,22.9
AKSHARCHEM,EQ,278.95
AKZOINDIA,EQ,2594.75
ALBERTDAVD,EQ,1531.95
ALEMBICLTD,EQ,93.2
ALICON,EQ,987.05
ALKALI,EQ,133.65
ALKEM,EQ,4971.75
ALKYLAMINE,EQ,2254.15
ALLCARGO,EQ,79.85
ALLSEC,EQ,812.4
ALOKINDS,EQ,32.25
ALPA,EQ,101.15
ALPHAETF,EQ,21.54
ALPHAGEO,EQ,278.6
ALPL30IETF,EQ,245.31
ALPSINDUS,EQ,2.25
AMBER,EQ,4103.15
AMBICAAGAR,EQ,29.4
AMBIKCO,EQ,1731.8
AMBUJACEM,EQ,560.15
AMIORG,EQ,1086.55
AMJLAND,EQ,41.55
AMNPLST,EQ,200.85
AMRUTANJAN,EQ,586.95
ANANDRATHI,EQ,3042.2
ANANTRAJ,EQ,315.95
ANDHRAPAP,EQ,602.4
ANDHRSUGAR,EQ,110.75
ANGELONE,EQ,2921.2
ANMOL,EQ,59.25
ANUP,EQ,2970.25
ANURAS,EQ,964.5
APARINDS,EQ,5466.05
APCL,EQ,212.1
APCOTEXIND,EQ,488.6
APEX,EQ,254.15
APLAPOLLO,EQ,1489.85
APLLTD,EQ,941.7
APOLLOHOSP,EQ,6168.85
APOLLOPIPE,EQ,730.25
APOLLOTYRE,EQ,517.6
APOLSINHOT,EQ,2134.6
APTECHT,EQ,276.35
APTUS,EQ,369.4
ARCHIES,EQ,32.45
ARE&M,EQ,813.1
ARENTERP,EQ,51.8
ARIES,EQ,229.45
ARIHANTCAP,EQ,71.15
ARIHANTSUP,EQ,380.95
ARMANFIN,EQ,2338.95
AROGRANITE,EQ,61.4
ARROWGREEN,EQ,424.0
ARTEMISMED,EQ,182.35
ARVIND,EQ,314.25
ARVINDFASN,EQ,474.0
ARVSMART,EQ,479.7
ASAHIINDIA,EQ,569.55
ASAHISONG,EQ,322.5
ASAL,EQ,461.55
ASALCBR,EQ,506.55
ASHAPURMIN,EQ,430.4
ASHIANA,EQ,312.85
ASHIMASYN,EQ,19.1
ASHOKA,EQ,161.9
ASHOKLEY,EQ,169.75
ASIANENE,EQ,297.45
ASIANPAINT,EQ,2949.2
ASIANTILES,EQ,73.5
ASKAUTOLTD,EQ,289.85
ASPINWALL,EQ,308.6
ASTEC,EQ,1001.35
ASTERDM,EQ,430.6
ASTRAL,EQ,1800.05
ASTRAMICRO,EQ,565.75
ASTRAZEN,EQ,6301.7
ASTRON,EQ,38.95
ATAM,EQ,204.75
ATFL,EQ,857.4
ATGL,EQ,1002.95
ATL,EQ,72.6
ATUL,EQ,6326.7
ATULAUTO,EQ,569.2
AUBANK,EQ,707.85
AUROPHARMA,EQ,1150.85
AURUM,EQ,167.65
AUSOMENT,EQ,84.4
AUTOAXLES,EQ,2111.9
AUTOBEES,EQ,188.8
AUTOIETF,EQ,188.67
AUTOIND,EQ,125.2
AVADHSUGAR,EQ,629.65
AVALON,EQ,525.75
AVANTIFEED,EQ,507.15
AVG,EQ,418.0
AVONMORE,EQ,124.25
AVROIND,EQ,133.6
AVTNPL,EQ,88.75
AWHCL,EQ,531.9
AWL,EQ,351.0
AXISBANK,EQ,1042.25
AXISBNKETF,EQ,456.03
AXISBPSETF,EQ,11.45
AXISCADES,EQ,798.2
AXISCETF,EQ,96.68
AXISGOLD,EQ,52.87
AXISHCETF,EQ,112.49
AXISILVER,EQ,72.5
AXISNIFTY,EQ,229.81
AXISTECETF,EQ,383.01
AXITA,EQ,26.85
AXSENSEX,EQ,71.16
AYMSYNTEX,EQ,82.95
AZAD,EQ,676.15
BAIDFIN,EQ,28.0
BAJAJ-AUTO,EQ,7597.5
BAJAJCON,EQ,216.75
BAJAJELEC,EQ,1035.2
BAJAJFINSV,EQ,1630.15
BAJAJHCARE,EQ,334.85
BAJAJHIND,EQ,27.95
BAJAJHLDNG,EQ,8194.7
BAJEL,EQ,179.55
BAJFINANCE,EQ,7085.5
BALAJITELE,EQ,87.05
BALAMINES,EQ,2366.45
BALAXI,EQ,434.05
BALKRISHNA,EQ,50.5
BALKRISIND,EQ,2527.0
BALMLAWRIE,EQ,258.05
BALPHARMA,EQ,113.25
BALRAMCHIN,EQ,387.75
BANARBEADS,EQ,101.2
BANARISUG,EQ,2421.65
BANCOINDIA,EQ,692.35
BANDHANBNK,EQ,220.95
BANKBARODA,EQ,227.05
BANKBEES,EQ,457.51
BANKETF,EQ,449.83
BANKIETF,EQ,45.24
BANKINDIA,EQ,131.5
BANSWRAS,EQ,159.65
BARBEQUE,EQ,605.7
BASF,EQ,2968.8
BASML,EQ,52.55
BATAINDIA,EQ,1449.3
BAYERCROP,EQ,5858.1
BBETF0432,EQ,1111.81
BBL,EQ,4697.15
BBNPPGOLD,EQ,61.95
BBTC,EQ,1662.7
BBTCL,EQ,266.85
BCG,EQ,18.5
BCLIND,EQ,72.25
BDL,EQ,1669.05
BECTORFOOD,EQ,1183.1
BEDMUTHA,EQ,281.75
BEL,EQ,189.7
BEML,EQ,3200.9
BEPL,EQ,107.8
BERGEPAINT,EQ,554.7
BFINVEST,EQ,515.75
BFSI,EQ,20.44
BFUTILITIE,EQ,590.3
BGRENERGY,EQ,94.85
BHAGCHEM,EQ,1484.85
BHAGERIA,EQ,154.7
BHAGYANGR,EQ,100.25
BHANDARI,EQ,7.95
BHARATFORG,EQ,1200.25
BHARATGEAR,EQ,119.2
BHARATRAS,EQ,9134.1
BHARTIARTL,EQ,1160.55
BHEL,EQ,219.9
BIGBLOC,EQ,174.45
BIKAJI,EQ,573.8
BIOCON,EQ,258.7
BIOFILCHEM,EQ,66.3
BIRLACABLE,EQ,274.9
BIRLACORPN,EQ,1395.3
BIRLAMONEY,EQ,133.45
BLAL,EQ,202.2
BLBLIMITED,EQ,30.75
BLISSGVS,EQ,111.55
BLKASHYAP,EQ,66.15
BLS,EQ,389.4
BLUEDART,EQ,6618.45
BLUEJET,EQ,359.75
BLUESTARCO,EQ,1060.4
BODALCHEM,EQ,80.9
BOMDYEING,EQ,181.95
BOROLTD,EQ,353.2
BORORENEW,EQ,623.05
BOSCHLTD,EQ,22779.3
BPCL,EQ,474.4
BRIGADE,EQ,974.95
BRITANNIA,EQ,5141.9
BRNL,EQ,85.8
BROOKS,EQ,149.85
BSE,EQ,2121.95
BSE500IETF,EQ,32.42
BSHSL,EQ,253.2
BSL,EQ,205.45
BSLGOLDETF,EQ,55.55
BSLNIFTY,EQ,24.27
BSLSENETFG,EQ,69.21
