SYMBOL,SERIES,CLOSE
ADANIENT,EQ,2893.6
ADANIPORTS,EQ,1146.3
APOLLOHOSP,EQ,6168.85
ASIANPAINT,EQ,2949.2
AXISBANK,EQ,1042.25
BAJAJ-AUTO,EQ,7597.5
BAJAJFINSV,EQ,1630.15
BAJFINANCE,EQ,7085.5
BHARTIARTL,EQ,1160.55
BPCL,EQ,474.4
BRITANNIA,EQ,5141.9
CIPLA,EQ,1369.65
COALINDIA,EQ,389.4
DIVISLAB,EQ,3578.9
DRREDDY,EQ,5855.5
EICHERMOT,EQ,3616.45
GRASIM,EQ,2076.5
HCLTECH,EQ,1550.25
HDFCBANK,EQ,1434.9
HDFCLIFE,EQ,579.0
HEROMOTOCO,EQ,4442.15
HINDALCO,EQ,567.2
HINDUNILVR,EQ,2428.3
ICICIBANK,EQ,1009.95
INDUSINDBK,EQ,1512.0
INFY,EQ,1669.1
ITC,EQ,455.65
JSWSTEEL,EQ,815.7
KOTAKBANK,EQ,1768.4
LT,EQ,3593.45
LTIM,EQ,5494.65
MARUTI,EQ,9881.0
NESTLEIND,EQ,2482.15
NTPC,EQ,314.75
ONGC,EQ,234.05
POWERGRID,EQ,245.5
RELIANCE,EQ,2706.15
SBILIFE,EQ,1380.9
SBIN,EQ,612.75
SUNPHARMA,EQ,1368.3
TATACONSUM,EQ,1136.75
TATAMOTORS,EQ,811.85
TATASTEEL,EQ,133.75
TCS,EQ,3810.3
TECHM,EQ,1322.05
TITAN,EQ,3770.2
ULTRACEMCO,EQ,9969.35
UPL,EQ,537.3
WIPRO,EQ,470.0
